year,region,e_Sep
2006,Minsk,49.345
2006,Mogilev,51.708
2006,Vitebsk,47.785
2007,Brest,47.741
2007,Gomel,51.494
2007,Grodno,47.543
2007,Minsk,41.841
2007,Mogilev,46.427
2007,Vitebsk,42.842
2008,Brest,47.104
2008,Gomel,50.631
2008,Grodno,44.988
2008,Minsk,45.126
2008,Mogilev,48.901
2008,Vitebsk,42.911
2009,Brest,50.476
2009,Gomel,47.299
2009,Grodno,50.306
2009,Minsk,52.062
2009,Mogilev,53.218
2009,Vitebsk,49.200
2010,Brest,49.528
2010,Gomel,56.544
2010,Grodno,46.865
2010,Minsk,47.028
2010,Mogilev,51.556
2010,Vitebsk,45.820
2011,Brest,51.289
2011,Gomel,48.023
2011,Grodno,50.901
2011,Minsk,50.671
2011,Mogilev,47.619
2011,Vitebsk,48.553
2012,Brest,50.251
2012,Gomel,55.739
2012,Grodno,47.018
2012,Minsk,48.527
2012,Mogilev,50.697
2012,Vitebsk,46.069
2013,Brest,47.035
2013,Gomel,50.329
2013,Grodno,45.949
2013,Minsk,48.534
2013,Mogilev,48.773
2013,Vitebsk,46.719
2014,Brest,50.997
2014,Gomel,52.875
2014,Grodno,48.024
2014,Minsk,49.533
2014,Mogilev,49.650
2014,Vitebsk,46.472
2015,Brest,45.968
2015,Gomel,49.597
2015,Grodno,41.731
2015,Minsk,44.139
2015,Mogilev,45.344
2015,Vitebsk,45.028
2016,Brest,38.257
2016,Gomel,39.166
2016,Grodno,45.615
2016,Minsk,38.288
2016,Mogilev,41.177
2016,Vitebsk,44.708
2017,Brest,52.567
2017,Gomel,60.170
2017,Grodno,50.384
2017,Minsk,55.914
2017,Mogilev,56.312
2017,Vitebsk,50.947
2018,Brest,57.290
2018,Gomel,60.130
2018,Grodno,56.596
2018,Minsk,54.203
2018,Mogilev,60.029
2018,Vitebsk,55.773
2019,Brest,50.804
2019,Gomel,48.289
2019,Grodno,48.518
2019,Minsk,50.317
2019,Mogilev,53.533
2019,Vitebsk,51.023
2020,Brest,56.316
2020,Gomel,57.333
2020,Grodno,53.052
2020,Minsk,54.542
2020,Mogilev,58.193
2020,Vitebsk,51.807
2021,Brest,49.567
2021,Gomel,50.986
2021,Grodno,49.121
2021,Minsk,47.467
2021,Mogilev,46.695
2021,Vitebsk,46.478
2022,Brest,39.127
2022,Gomel,41.595
2022,Grodno,37.404
2022,Minsk,38.648
2022,Mogilev,41.641
2022,Vitebsk,38.386
